rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
80,top-100-stars,papers-we-love,100898,6186,Shell,https://github.com/papers-we-love/papers-we-love,papers-we-love,2,2025-10-10T15:35:14Z,Papers from the computer science community to read and discuss.
81,top-100-stars,DeepSeek-V3,100640,16401,Python,https://github.com/deepseek-ai/DeepSeek-V3,deepseek-ai,28,2025-08-28T03:24:37Z,
82,top-100-stars,system-prompts-and-models-of-ai-tools,99973,26747,,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol,64,2025-12-02T16:21:36Z,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models"
83,top-100-stars,tauri,99759,3220,Rust,https://github.com/tauri-apps/tauri,tauri-apps,1190,2025-12-08T13:30:52Z,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend."
84,top-100-stars,angular,99487,26854,TypeScript,https://github.com/angular/angular,angular,1046,2025-12-08T21:30:42Z,Deliver web apps with confidence 🚀
85,top-100-stars,material-ui,97430,32792,TypeScript,https://github.com/mui/material-ui,mui,1621,2025-12-08T17:51:40Z,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.
86,top-100-stars,ant-design,96913,54160,TypeScript,https://github.com/ant-design/ant-design,ant-design,1266,2025-12-09T03:50:48Z,An enterprise-class UI design language and React UI library
87,top-100-stars,HowToCook,96308,10719,Dockerfile,https://github.com/Anduin2017/HowToCook,Anduin2017,450,2025-12-05T10:04:17Z,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).
88,top-100-stars,ComfyUI,96220,10884,Python,https://github.com/comfyanonymous/ComfyUI,comfyanonymous,3040,2025-12-09T03:54:33Z,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
89,top-100-stars,every-programmer-should-know,96204,8545,,https://github.com/mtdvio/every-programmer-should-know,mtdvio,12,2025-11-09T18:00:48Z,A collection of (mostly) technical things every software developer should know about
90,top-100-stars,pytorch,95702,26144,Python,https://github.com/pytorch/pytorch,pytorch,16145,2025-12-09T04:01:01Z,Tensors and Dynamic neural networks in Python with strong GPU acceleration
91,top-100-stars,awesome-mac,94936,7142,JavaScript,https://github.com/jaywcjlove/awesome-mac,jaywcjlove,120,2025-12-07T04:42:53Z," Now we have become very big, Different from the original idea. Collect premium software in various categories."
92,top-100-stars,thefuck,94849,3797,Python,https://github.com/nvbn/thefuck,nvbn,292,2024-07-19T14:56:13Z,Magnificent app which corrects your previous console command.
93,top-100-stars,neovim,94820,6464,Vim Script,https://github.com/neovim/neovim,neovim,1677,2025-12-09T03:34:31Z,Vim-fork focused on extensibility and usability
94,top-100-stars,Web-Dev-For-Beginners,94570,14846,JavaScript,https://github.com/microsoft/Web-Dev-For-Beginners,microsoft,30,2025-12-05T15:07:13Z,"24 Lessons, 12 Weeks, Get Started as a Web Developer"
95,top-100-stars,supabase,94344,10941,TypeScript,https://github.com/supabase/supabase,supabase,230,2025-12-09T04:01:43Z,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications."
96,top-100-stars,clean-code-javascript,94121,12499,JavaScript,https://github.com/ryanmcdermott/clean-code-javascript,ryanmcdermott,80,2024-07-29T07:24:37Z,Clean Code concepts adapted for JavaScript
97,top-100-stars,java-design-patterns,93460,27347,Java,https://github.com/iluwatar/java-design-patterns,iluwatar,142,2025-10-21T21:30:34Z,Design patterns implemented in Java
98,top-100-stars,puppeteer,93019,9342,TypeScript,https://github.com/puppeteer/puppeteer,puppeteer,268,2025-12-08T14:57:54Z,JavaScript API for Chrome and Firefox
99,top-100-stars,fastapi,92877,8342,Python,https://github.com/fastapi/fastapi,fastapi,36,2025-12-08T13:05:21Z,"FastAPI framework, high performance, easy to learn, fast to code, ready for production"
100,top-100-stars,v2rayN,91821,13802,C#,https://github.com/2dust/v2rayN,2dust,4,2025-12-08T11:55:27Z,"A GUI client for Windows, Linux and macOS, support Xray and sing-box and others"
1,top-100-forks,datasharing,6677,243363,,https://github.com/jtleek/datasharing,jtleek,308,2024-08-07T08:29:32Z,The Leek group guide to data sharing 
2,top-100-forks,Spoon-Knife,13455,155033,HTML,https://github.com/octocat/Spoon-Knife,octocat,2595,2024-08-21T15:25:42Z,This repo is for demonstration purposes only.
3,top-100-forks,ProgrammingAssignment2,872,143945,R,https://github.com/rdpeng/ProgrammingAssignment2,rdpeng,202,2024-08-14T21:14:33Z,Repository for Programming Assignment 2 for R Programming on Coursera
4,top-100-forks,first-contributions,51594,95015,,https://github.com/firstcontributions/first-contributions,firstcontributions,87,2025-12-09T02:05:53Z,🚀✨ Help beginners to contribute to open source projects
5,top-100-forks,SmartThingsPublic,2627,88481,Groovy,https://github.com/SmartThingsCommunity/SmartThingsPublic,SmartThingsCommunity,72,2023-07-18T18:42:27Z,SmartThings open-source DeviceType Handlers and SmartApps code
6,top-100-forks,Complete-Python-3-Bootcamp,29191,87381,Jupyter Notebook,https://github.com/Pierian-Data/Complete-Python-3-Bootcamp,Pierian-Data,149,2025-06-24T04:54:16Z,Course Files for Complete Python 3 Bootcamp Course on Udemy
7,top-100-forks,css-exercises,2532,86808,HTML,https://github.com/TheOdinProject/css-exercises,TheOdinProject,0,2025-10-27T21:18:55Z,
8,top-100-forks,gitignore,171163,82975,,https://github.com/github/gitignore,github,0,2025-11-17T18:23:13Z,A collection of useful .gitignore templates
9,top-100-forks,coding-interview-university,334522,81414,,https://github.com/jwasham/coding-interview-university,jwasham,70,2025-08-28T14:42:47Z,A complete computer science study plan to become a software engineer.
10,top-100-forks,bootstrap,173784,79166,MDX,https://github.com/twbs/bootstrap,twbs,421,2025-12-03T17:18:07Z,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web."
11,top-100-forks,tensorflow,192718,75035,C++,https://github.com/tensorflow/tensorflow,tensorflow,859,2025-12-09T03:17:38Z,An Open Source Machine Learning Framework for Everyone
12,top-100-forks,cgm-remote-monitor,2635,72747,JavaScript,https://github.com/nightscout/cgm-remote-monitor,nightscout,165,2025-11-09T14:53:03Z,nightscout web monitor
13,top-100-forks,free-programming-books,378524,65608,Python,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,41,2025-12-07T13:08:39Z,:books: Freely available programming books
14,top-100-forks,docs,18424,64852,TypeScript,https://github.com/github/docs,github,73,2025-12-09T00:46:37Z,The open-source repo for docs.github.com
15,top-100-forks,NextChat,86631,60700,TypeScript,https://github.com/ChatGPTNextWeb/NextChat,ChatGPTNextWeb,682,2025-12-02T17:05:02Z,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows
16,top-100-forks,dio-lab-open-source,8362,59802,Jupyter Notebook,https://github.com/digitalinnovationone/dio-lab-open-source,digitalinnovationone,6474,2025-12-09T03:01:42Z,"Repositório do lab ""Contribuindo em um Projeto Open Source no GitHub"" da Digital Innovation One."
17,top-100-forks,linux,210042,58701,C,https://github.com/torvalds/linux,torvalds,0,2025-12-09T00:13:27Z,Linux kernel source tree
18,top-100-forks,ExData_Plotting1,293,56567,,https://github.com/rdpeng/ExData_Plotting1,rdpeng,76,2024-07-04T20:52:28Z,Plotting Assignment 1 for Exploratory Data Analysis
19,top-100-forks,opencv,85202,56389,C++,https://github.com/opencv/opencv,opencv,2581,2025-12-08T15:10:01Z,Open Source Computer Vision Library
20,top-100-forks,Python-100-Days,176056,55072,Jupyter Notebook,https://github.com/jackfrued/Python-100-Days,jackfrued,580,2025-12-07T04:40:31Z,Python - 100天从新手到大师
21,top-100-forks,generative-ai-for-beginners,102829,54742,Jupyter Notebook,https://github.com/microsoft/generative-ai-for-beginners,microsoft,5,2025-12-08T03:05:57Z,"21 Lessons, Get Started Building with Generative AI "
22,top-100-forks,ant-design,96913,54160,TypeScript,https://github.com/ant-design/ant-design,ant-design,1266,2025-12-09T03:50:48Z,An enterprise-class UI design language and React UI library
23,top-100-forks,tutorials,37314,53978,Java,https://github.com/eugenp/tutorials,eugenp,17,2025-12-09T02:42:09Z,Getting Started with Spring Boot 3: 
24,top-100-forks,system-design-primer,328876,53578,Python,https://github.com/donnemartin/system-design-primer,donnemartin,242,2025-11-03T12:06:22Z,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.
25,top-100-forks,n8n,161419,51690,TypeScript,https://github.com/n8n-io/n8n,n8n-io,647,2025-12-09T01:40:28Z,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations."
26,top-100-forks,CS-Notes,183077,51253,,https://github.com/CyC2018/CS-Notes,CyC2018,126,2024-08-21T09:40:10Z,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计
27,top-100-forks,react,241413,50038,JavaScript,https://github.com/facebook/react,facebook,853,2025-12-09T00:20:16Z,The library for web and native user interfaces.
28,top-100-forks,Python,214560,49568,Python,https://github.com/TheAlgorithms/Python,TheAlgorithms,148,2025-12-01T21:08:50Z,All Algorithms implemented in Python
29,top-100-forks,AutoGPT,180180,46183,Python,https://github.com/Significant-Gravitas/AutoGPT,Significant-Gravitas,212,2025-12-09T02:18:45Z,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
30,top-100-forks,JavaGuide,152951,46072,Java,https://github.com/Snailclimb/JavaGuide,Snailclimb,74,2025-12-08T09:42:43Z,"Java 学习&面试指南（Go、Python 后端面试通用,计算机基础面试总结）。准备后端技术面试，首选 JavaGuide！"
31,top-100-forks,it-cert-automation-practice,988,46068,Python,https://github.com/google/it-cert-automation-practice,google,123,2024-08-21T14:58:21Z,Google IT Automation with Python Professional Certificate - Practice files
32,top-100-forks,models,77679,45384,Python,https://github.com/tensorflow/models,tensorflow,1080,2025-12-09T01:23:34Z,Models and examples built with TensorFlow
33,top-100-forks,javascript-exercises,1555,43903,JavaScript,https://github.com/TheOdinProject/javascript-exercises,TheOdinProject,2,2025-12-04T21:13:10Z,
34,top-100-forks,developer-roadmap,345075,43480,TypeScript,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,52,2025-12-07T13:53:10Z,"Interactive roadmaps, guides and other educational content to help developers grow in their careers."
35,top-100-forks,qmk_firmware,19915,43125,C,https://github.com/qmk/qmk_firmware,qmk,316,2025-12-09T03:45:53Z,Open-source keyboard firmware for Atmel AVR and Arm USB families
36,top-100-forks,DO180-apps,291,42972,JavaScript,https://github.com/RedHatTraining/DO180-apps,RedHatTraining,1,2024-06-12T07:37:41Z,DO180 Repository for Sample Applications
37,top-100-forks,freeCodeCamp,434388,42725,TypeScript,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,198,2025-12-08T21:39:56Z,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free."
38,top-100-forks,kickstart.nvim,28515,42293,Lua,https://github.com/nvim-lua/kickstart.nvim,nvim-lua,37,2025-05-22T21:10:05Z,A launch point for your personal nvim configuration
39,top-100-forks,patchwork,1145,42215,Rich Text Format,https://github.com/jlord/patchwork,jlord,28,2025-12-09T03:12:00Z,All the Git-it Workshop completers! 
