rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
73,top-100-forks,mall,82365,29583,Java,https://github.com/macrozheng/mall,macrozheng,10,2025-10-17T06:27:15Z,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
74,top-100-forks,jbbmo-Introduction-to-Git-and-GitHub,80,29473,Python,https://github.com/ibm-developer-skills-network/jbbmo-Introduction-to-Git-and-GitHub,ibm-developer-skills-network,13,2024-08-21T13:03:30Z,Introduction to Git and GitHub
75,top-100-forks,stable-diffusion-webui,158834,29495,Python,https://github.com/AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,2377,2025-11-07T10:31:31Z,Stable Diffusion web UI
76,top-100-forks,spark,42448,28960,Scala,https://github.com/apache/spark,apache,0,2025-12-09T03:58:50Z,Apache Spark - A unified analytics engine for large-scale data processing
77,top-100-forks,free-programming-books-zh_CN,115876,28361,,https://github.com/justjavac/free-programming-books-zh_CN,justjavac,0,2024-07-15T08:55:20Z,:books: 免费的计算机编程类中文书籍，欢迎投稿
78,top-100-forks,dotfiles,21561,28214,Shell,https://github.com/lewagon/dotfiles,lewagon,1,2025-12-02T09:42:55Z,Default configuration for Le Wagon's students
79,top-100-forks,github-readme-stats,77369,27919,JavaScript,https://github.com/anuraghazra/github-readme-stats,anuraghazra,149,2025-12-08T18:06:20Z,:zap: Dynamically generated stats for your github readmes
80,top-100-forks,mslearn-tailspin-spacegame-web,210,27612,Shell,https://github.com/MicrosoftDocs/mslearn-tailspin-spacegame-web,MicrosoftDocs,23,2025-05-22T15:13:37Z,Code used in Microsoft Learn modules to support Azure DevOps
81,top-100-forks,spring-petclinic,8797,27498,CSS,https://github.com/spring-projects/spring-petclinic,spring-projects,0,2025-11-26T18:56:11Z,A sample Spring-based application
82,top-100-forks,learning-area,7488,27422,HTML,https://github.com/mdn/learning-area,mdn,2,2025-11-18T08:55:21Z,GitHub repo for the MDN Learning Area. 
83,top-100-forks,java-design-patterns,93460,27347,Java,https://github.com/iluwatar/java-design-patterns,iluwatar,142,2025-10-21T21:30:34Z,Design patterns implemented in Java
84,top-100-forks,angular.js,58968,27318,JavaScript,https://github.com/angular/angular.js,angular,389,2024-04-12T17:43:16Z,AngularJS - HTML enhanced for web apps!
85,top-100-forks,minimal-mistakes,13306,27272,HTML,https://github.com/mmistakes/minimal-mistakes,mmistakes,25,2025-12-01T14:50:35Z,":triangular_ruler: Jekyll theme for building a personal site, blog, project documentation, or portfolio."
86,top-100-forks,create-react-app,103912,27176,JavaScript,https://github.com/facebook/create-react-app,facebook,1842,2025-02-15T01:32:11Z,Set up a modern web app by running one command.
87,top-100-forks,git,57972,27144,C,https://github.com/git/git,git,0,2025-12-07T22:25:36Z,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.
88,top-100-forks,awesome-python,273020,26874,Python,https://github.com/vinta/awesome-python,vinta,0,2025-11-20T09:45:51Z,"An opinionated list of awesome Python frameworks, libraries, software and resources."
89,top-100-forks,angular,99487,26854,TypeScript,https://github.com/angular/angular,angular,1046,2025-12-08T21:30:42Z,Deliver web apps with confidence 🚀
90,top-100-forks,javascript,147979,26796,JavaScript,https://github.com/airbnb/javascript,airbnb,100,2025-11-06T00:54:14Z,JavaScript Style Guide
